type,id,answer,prev_answer,changed,answer_source,confidence,evidence_url
judge,1,×,×,N,official,high,
judge,2,×,×,N,official,high,
judge,3,×,×,N,official,high,
judge,4,√,√,N,official,high,
judge,5,×,×,N,official,high,
judge,6,√,√,N,official,high,
judge,7,√,√,N,official,high,
judge,8,√,√,N,official,high,
judge,9,×,×,N,official,high,
judge,10,√,√,N,official,high,
judge,11,×,×,N,official,high,
judge,12,×,×,N,official,high,
judge,13,×,×,N,official,high,
judge,14,√,√,N,official,high,
judge,15,×,×,N,official,high,
judge,16,×,×,N,official,high,
judge,17,×,×,N,official,high,
judge,18,×,×,N,official,high,
judge,19,×,×,N,official,high,
judge,20,×,×,N,official,high,
judge,21,√,√,N,official,high,
judge,22,√,√,N,official,high,
judge,23,×,×,N,official,high,
judge,24,√,√,N,official,high,
judge,25,√,√,N,official,high,
judge,26,×,×,N,official,high,
judge,27,√,√,N,official,high,
judge,28,×,×,N,official,high,
judge,29,√,√,N,official,high,
judge,30,×,×,N,official,high,
judge,31,√,√,N,official,high,
judge,32,×,×,N,official,high,
judge,33,√,√,N,official,high,
judge,34,×,×,N,official,high,
judge,35,×,×,N,official,high,
judge,36,×,×,N,official,high,
judge,37,×,×,N,official,high,
judge,38,×,×,N,official,high,
judge,39,×,×,N,official,high,
judge,40,√,√,N,official,high,
judge,41,×,×,N,official,high,
judge,42,×,×,N,official,high,
judge,43,×,×,N,official,high,
judge,44,×,×,N,official,high,
judge,45,×,×,N,official,high,
judge,46,√,√,N,official,high,
judge,47,√,√,N,official,high,
judge,48,×,×,N,official,high,
judge,49,×,×,N,official,high,
judge,50,×,×,N,official,high,
judge,51,×,×,N,inferred,low,
judge,52,×,×,N,inferred,low,
judge,53,×,×,N,inferred,low,
judge,54,×,×,N,inferred,low,
judge,55,×,×,N,inferred,low,
judge,56,×,×,N,inferred,low,
judge,57,×,×,N,inferred,low,
judge,58,×,×,N,inferred,low,
judge,59,×,×,N,verified_web,low,https://developer.mozilla.org/en-US/docs/Web/Security/Transport_Layer_Security
judge,60,×,×,N,inferred,low,
judge,61,√,√,N,inferred,low,
judge,62,×,×,N,inferred,low,
judge,63,×,×,N,inferred,low,
judge,64,√,√,N,inferred,low,
judge,65,×,×,N,inferred,low,
judge,66,×,×,N,inferred,low,
judge,67,×,×,N,inferred,low,
judge,68,×,×,N,inferred,low,
judge,69,×,×,N,inferred,low,
judge,70,×,×,N,inferred,low,
judge,71,×,×,N,inferred,low,
judge,72,×,×,N,inferred,low,
judge,73,×,×,N,inferred,low,
judge,74,×,×,N,inferred,low,
judge,75,×,×,N,inferred,low,
judge,76,×,×,N,inferred,low,
judge,77,×,×,N,inferred,low,
judge,78,×,×,N,inferred,medium,
judge,79,×,×,N,inferred,medium,
judge,80,×,×,N,inferred,low,
judge,81,×,×,N,inferred,low,
judge,82,×,×,N,inferred,low,
judge,83,×,×,N,inferred,low,
judge,84,×,×,N,inferred,low,
judge,85,×,×,N,inferred,low,
judge,86,×,×,N,inferred,low,
judge,87,×,×,N,inferred,low,
judge,88,√,√,N,inferred,low,
judge,89,×,×,N,inferred,low,
judge,90,×,×,N,inferred,low,
judge,91,×,×,N,inferred,medium,
judge,92,×,×,N,inferred,low,
judge,93,×,×,N,inferred,low,
judge,94,√,√,N,inferred,low,
judge,95,×,×,N,inferred,medium,
judge,96,×,×,N,inferred,low,
judge,97,√,√,N,inferred,low,
judge,98,×,×,N,inferred,low,
judge,99,×,×,N,inferred,low,
judge,100,×,×,N,inferred,low,
judge,101,√,√,N,inferred,low,
judge,102,×,×,N,inferred,low,
judge,103,×,×,N,inferred,medium,
judge,104,×,×,N,inferred,low,
judge,105,√,√,N,inferred,low,
judge,106,×,×,N,inferred,low,
judge,107,×,×,N,inferred,medium,
judge,108,×,×,N,inferred,low,
judge,109,×,×,N,inferred,low,
judge,110,√,√,N,inferred,low,
judge,111,×,×,N,inferred,medium,
judge,112,×,×,N,inferred,low,
judge,113,×,×,N,inferred,low,
judge,114,×,×,N,inferred,low,
judge,115,×,×,N,inferred,low,
judge,116,×,×,N,inferred,low,
judge,117,×,×,N,inferred,low,
judge,118,×,×,N,inferred,low,
judge,119,×,×,N,inferred,low,
judge,120,×,×,N,inferred,low,
judge,121,×,×,N,inferred,low,
judge,122,×,×,N,inferred,low,
judge,123,×,×,N,inferred,low,
judge,124,×,×,N,inferred,low,
judge,125,×,×,N,inferred,low,
judge,126,×,×,N,inferred,low,
judge,127,×,×,N,inferred,low,
judge,128,×,×,N,inferred,low,
judge,129,×,×,N,inferred,low,
judge,130,×,×,N,inferred,low,
judge,131,×,×,N,inferred,low,
judge,132,×,×,N,inferred,low,
judge,133,×,×,N,verified_web,low,https://scikit-learn.org/stable/modules/cross_validation.html
judge,134,×,×,N,inferred,medium,
judge,135,×,×,N,inferred,low,
judge,136,×,×,N,inferred,low,
judge,137,×,×,N,inferred,low,
judge,138,×,×,N,inferred,low,
judge,139,×,×,N,inferred,low,
judge,140,×,×,N,inferred,low,
judge,141,×,×,N,inferred,low,
judge,142,×,×,N,inferred,low,
judge,143,×,×,N,inferred,low,
judge,144,×,×,N,inferred,low,
judge,145,√,√,N,inferred,low,
judge,146,×,×,N,inferred,low,
judge,147,×,×,N,inferred,low,
judge,148,×,×,N,inferred,medium,
judge,149,×,×,N,inferred,low,
judge,150,×,×,N,inferred,low,
judge,151,×,×,N,inferred,low,
judge,152,×,×,N,inferred,low,
judge,153,×,×,N,inferred,low,
judge,154,×,×,N,inferred,low,
judge,155,×,×,N,inferred,low,
judge,156,×,×,N,inferred,low,
judge,157,×,×,N,inferred,low,
judge,158,×,×,N,inferred,low,
judge,159,×,×,N,inferred,low,
judge,160,×,×,N,inferred,low,
judge,161,×,×,N,inferred,low,
judge,162,×,×,N,inferred,low,
judge,163,×,×,N,inferred,low,
judge,164,×,×,N,inferred,low,
judge,165,×,×,N,inferred,low,
judge,166,×,×,N,inferred,low,
judge,167,×,×,N,inferred,medium,
judge,168,×,×,N,inferred,medium,
judge,169,×,×,N,inferred,medium,
judge,170,×,×,N,inferred,medium,
judge,171,×,×,N,inferred,low,
judge,172,×,×,N,inferred,medium,
judge,173,×,×,N,inferred,low,
judge,174,×,×,N,inferred,low,
judge,175,×,×,N,inferred,low,
judge,176,×,×,N,inferred,low,
judge,177,×,×,N,inferred,medium,
judge,178,×,×,N,inferred,medium,
judge,179,×,×,N,inferred,medium,
judge,180,×,×,N,inferred,medium,
judge,181,×,×,N,inferred,low,
judge,182,×,×,N,inferred,low,
judge,183,×,×,N,inferred,low,
